OBJECTID,Lat,Long,Alt_ft,Tree_ID,Zone,Group_,Leaf_Fall,Common_Name,Genus,Species_Name,Family,Origin,Age_Class,CBH,DBH,Tree_Height_ft,Canopy_Radius_ft,Root_Zone_Infringement,Condition_Class,Priority,Intrest_Houses,Trust_Prop,Trust_Prop_Address,Champion_Tree,Memorial_Tree,Blue_Mtn_Native,Pacific_Slope_Native,Staked,Comments
20,46.07227,-118.33237,974,A20,A,Conifer,Deciduous,Western Larch (Tamarack),Larix,Larix occidentalis,Pinaceae,,14,23,7.32,25,6,0.25,Good,B,,Yes, TamaracH 602Main,,,x,x,Yes,
21,46.0722,-118.33248,978,A21,A,Broadleaf,Deciduous,Green Ash,Fraxinus,Fraxinus pennsylvanica,Oleaceae,,16,36,11.46,25,9,0.25,Fair,B,,Yes, TamaracH 602Main,,,,,,
22,46.07227,-118.33246,981,A22,A,Broadleaf,Deciduous,Green Ash,Fraxinus,Fraxinus pennsylvanica,Oleaceae,,16,48,15.29,25,16,0.25,Fair,B,,Yes, TamaracH 602Main,,,,,,
23,46.07244,-118.33228,974,A23,A,Broadleaf,Deciduous,Green Ash,Fraxinus,Fraxinus pennsylvanica,Oleaceae,,16,37,11.78,25,17,0.25,Fair,B,,Yes, 610 Main St.,,,,,,
24,46.07249,-118.33222,977,A24,A,Broadleaf,Deciduous,Green Ash,Fraxinus,Fraxinus pennsylvanica,Oleaceae,,16,32,10.19,25,11,0.25,Fair,B,,Yes, 612 Main,,,,,,
25,46.0726,-118.33212,978,A24,A,Broadleaf,Deciduous,Green Ash,Fraxinus,Fraxinus pennsylvanica,Oleaceae,,16,45,14.33,25,8,0.25,Fair,B,,Yes, 622 Main,,,,,,
26,46.07254,-118.33211,977,A26,A,Conifer,Evergreen,Douglas Fir,Pseudotsuga,Pseudotsuga menziesii,Pinaceae,,35,66,21.2,65,15,0.5,Good,A,,Yes, 612 Main,,,x,x,,
27,46.0725,-118.33215,968,A27,A,Conifer,Evergreen,Douglas Fir,Pseudotsuga,Pseudotsuga menziesii,Pinaceae,,35,66,21.2,65,17,0.5,Good,A,,Yes, 612 Main,,,x,x,,
28,46.07249,-118.33211,976,A28,A,Conifer,Evergreen,Douglas Fir,Pseudotsuga,Pseudotsuga menziesii,Pinaceae,,35,66,21.2,65,17,0.5,Good,A,,Yes, 612 Main,,,x,x,,
29,46.07253,-118.3321,975,A29,A,Conifer,Evergreen,Pine,Pinus,Pinus,Pinaceae,,35,82,26.11,60,17,0.5,Poor,A,,Yes, 612 Main,,,x,x,,
30,46.0725,-118.33205,975,A30,A,Conifer,Evergreen,Oriental Spruce,Picea,Picea orientalis,Pinaceae,,35,73,23.25,60,10.5,0.25,Good,A,,Yes, 612 Main,,,,,,
35,46.07282,-118.33187,982,A35,A,Broadleaf,Deciduous,Green Ash,Fraxinus,Fraxinus pennsylvanica,Oleaceae,,15,36,11.46,35,18,0,Good,B,,,,,,,,,
36,46.07283,-118.33179,977,A36,A,Broadleaf,Deciduous,Green Ash,Fraxinus,Fraxinus pennsylvanica,Oleaceae,,15,36,11.46,35,12,0,Good,B,,,,,,,,,
37,46.07284,-118.33171,973,A37,A,Broadleaf,Deciduous,Green Ash,Fraxinus,Fraxinus pennsylvanica,Oleaceae,,15,39,12.42,35,14,0,Good,B,,,,,,,,,
38,46.07285,-118.33155,973,A38,A,Broadleaf,Deciduous,Green Ash,Fraxinus,Fraxinus pennsylvanica,Oleaceae,,15,42,13.38,35,18,0,Good,A,,,,,,,,,
39,46.07285,-118.33145,970,A39,A,Broadleaf,Deciduous,Green Ash,Fraxinus,Fraxinus pennsylvanica,Oleaceae,,15,42,13.38,35,13,0,Good,A,,,,,,,,,
40,46.07286,-118.33131,970,A40,A,Broadleaf,Deciduous,Green Ash,Fraxinus,Fraxinus pennsylvanica,Oleaceae,,15,40,12.74,35,13,0,Good,A,,,,,,,,,
41,46.07285,-118.33121,974,A41,A,Broadleaf,Deciduous,Green Ash,Fraxinus,Fraxinus pennsylvanica,Oleaceae,,15,40,12.74,35,14,0,Good,A,,,,,,,,,
42,46.07286,-118.33108,974,A42,A,Broadleaf,Deciduous,Green Ash,Fraxinus,Fraxinus pennsylvanica,Oleaceae,,15,34,10.83,35,12,0,Good,A,,,,,,,,,
43,46.07285,-118.33097,977,A43,A,Broadleaf,Deciduous,Green Ash,Fraxinus,Fraxinus pennsylvanica,Oleaceae,,15,38,12.1,35,14,0,Good,A,,,,,,,,,
44,46.07285,-118.33092,980,A44,A,Broadleaf,Deciduous,Green Ash,Fraxinus,Fraxinus pennsylvanica,Oleaceae,,15,43,13.69,35,17,0,Good,A,,,,,,,,,
45,46.07285,-118.33071,980,A45,A,Broadleaf,Deciduous,Green Ash,Fraxinus,Fraxinus pennsylvanica,Oleaceae,,15,40,12.74,35,15,0,Good,A,,,,,,,,,
